Latitude,Longitude,Data,Hora,Velocidade,Temperatura,Umidade
0,0,0/0/2000,00:00:00,0,31,42
0,0,20/12/2016,18:58:36,0,31,42
0,0,20/12/2016,18:58:36,0,31,42
0,0,20/12/2016,18:58:36,0,31,42
0,0,20/12/2016,18:58:37,0,31,42
0,0,20/12/2016,18:58:37,0,31,42
0,0,20/12/2016,18:58:37,0,31,41
0,0,20/12/2016,18:58:38,0,31,41
0,0,20/12/2016,18:58:38,0,31,41
0,0,20/12/2016,18:58:38,0,31,41
0,0,20/12/2016,18:58:39,0,31,41
0,0,20/12/2016,18:58:39,0,31,41
0,0,20/12/2016,18:58:39,0,31,41
0,0,20/12/2016,18:58:40,0,31,41
0,0,20/12/2016,18:58:40,0,31,41
0,0,20/12/2016,18:58:40,0,31,41
0,0,20/12/2016,18:58:41,0,31,41
0,0,20/12/2016,18:58:41,0,31,41
0,0,20/12/2016,18:58:41,0,31,41
0,0,20/12/2016,18:58:42,0,31,41
0,0,20/12/2016,18:58:42,0,31,41
0,0,20/12/2016,18:58:42,0,31,41
0,0,20/12/2016,18:58:43,0,31,41
0,0,20/12/2016,18:58:43,0,31,41
0,0,20/12/2016,18:58:43,0,31,41
0,0,20/12/2016,18:58:44,0,31,40
0,0,20/12/2016,18:58:44,0,31,40
0,0,20/12/2016,18:58:44,0,31,40
0,0,20/12/2016,18:58:45,0,31,40
0,0,20/12/2016,18:58:45,0,31,40
0,0,20/12/2016,18:58:45,0,31,40
0,0,20/12/2016,18:58:45,0,31,40
0,0,20/12/2016,18:58:45,0,31,40
0,0,20/12/2016,18:58:45,0,31,40
0,0,20/12/2016,18:58:47,0,31,40
0,0,20/12/2016,18:58:47,0,31,40
0,0,20/12/2016,18:58:47,0,31,40
0,0,20/12/2016,18:58:47,0,31,40
0,0,20/12/2016,18:58:47,0,31,40
0,0,20/12/2016,18:58:47,0,31,40
0,0,20/12/2016,18:58:47,0,31,40
-17.960346,-42.006214,20/12/2016,18:58:49,29.87,31,41
-17.960346,-42.006214,20/12/2016,18:58:49,29.87,31,41
-17.960346,-42.006263,20/12/2016,18:58:50,22.71,31,41
-17.960346,-42.006263,20/12/2016,18:58:50,22.71,31,41
-17.960319,-42.006294,20/12/2016,18:58:51,20.06,31,41
-17.960319,-42.006294,20/12/2016,18:58:51,20.06,31,41
-17.96033,-42.006324,20/12/2016,18:58:52,23.54,31,41
-17.96033,-42.006324,20/12/2016,18:58:52,23.54,31,41
