"","difMedia","difSd","erroInv","erroInvConf","erroInvProp","diffErro","conf_t","conf_ks","conf_graybill","inv_t","inv_ks","inv_graybill"
"1",0,0.1,4.5013,4.501303,4.501883,-3.00000000041045e-06,0.509810420037836,0.999889085726938,0.4869024,0.529148514977355,0.713884971785445,0.46564894
"2",0,0.2,4.5013,4.501262,4.502105,3.79999999996539e-05,0.461821200154051,0.958381423847739,0.49952423,0.542230545175329,0.0555702010116694,0.5269268
"3",0,0.3,4.5013,4.501133,4.501494,0.000166999999999593,0.539073935669594,0.792873355130486,0.49991228,0.514987814044212,0.000805000494962886,0.48171361
"4",0,0.4,4.5013,4.501235,4.500747,6.49999999996176e-05,0.535304622009113,0.505241234847159,0.50306092,0.497341411657725,3.85619757087619e-06,0.44273422
"5",0,0.5,4.5013,4.501945,4.50326,-0.000645000000000326,0.521770972123345,0.246699230835972,0.46945302,0.473885866276058,2.8202831170443e-09,0.38275839
"6",0,0.6,4.5013,4.500673,4.50202,0.000626999999999631,0.497887073161615,0.136426998760587,0.53734467,0.5019848595047,9.88590320716298e-13,0.285702075
"7",0,0.7,4.5013,4.501836,4.501356,-0.000536000000000332,0.491455837037299,0.041311163024385,0.45997689,0.476180878444614,6.66133814775094e-17,0.32254587
"8",0,0.8,4.5013,4.501547,4.505461,-0.000247000000000339,0.47404465475307,0.0199712524223247,0.50021423,0.486876273923085,0,0.2313664331
"9",0,0.9,4.5013,4.502927,4.502965,-0.00162700000000036,0.532668631325769,0.00477284076587955,0.49293641,0.47548159957604,0,0.1876071711
"10",0,1,4.5013,4.502781,4.505485,-0.0014810000000004,0.475056208730737,0.00213902513125797,0.46171349,0.461874098223781,0,0.1179221317
"11",0.1,0.1,4.5013,4.503058,4.501863,-0.00175800000000037,6.74164750863929e-135,0.55699704497443,0.024693021,0,0.00207354616061779,7.2726288787e-35
"12",0.1,0.2,4.5013,4.503473,4.501495,-0.00217300000000041,1.99002097283397e-41,0.494276249793374,0.0407587,0,0.00162705761646395,5.70985956014201e-26
"13",0.1,0.3,4.5013,4.50525,4.503155,-0.00395000000000032,1.26550170051244e-17,0.452358413698393,0.07569246,7.23759795179747e-220,0.00120155591313029,1.4295975088679e-21
"14",0.1,0.4,4.5013,4.503002,4.503789,-0.00170200000000037,2.65924191302521e-08,0.41076614541245,0.09016192,1.62217709329735e-120,0.000678032579182469,4.676856892003e-19
"15",0.1,0.5,4.5013,4.503125,4.501944,-0.00182500000000042,4.16769929061698e-07,0.331072479934103,0.12247746,1.23695098420439e-76,1.0698945274582e-05,2.47389795567e-16
"16",0.1,0.6,4.5013,4.503533,4.501919,-0.00223300000000036,0.000324648837170933,0.207093767206994,0.12365928,5.34120635903157e-53,1.4227261033728e-08,9.731000329255e-14
"17",0.1,0.7,4.5013,4.500009,4.501307,0.00129099999999961,0.000853619252549491,0.131059082779446,0.16786389,4.00236964000595e-35,4.68980521084461e-12,3.50549401389e-13
"18",0.1,0.8,4.5013,4.500562,4.501897,0.000737999999999603,0.0047758825171914,0.0451416511238837,0.173061091,4.7492206442063e-29,3.05311331771918e-16,4.22122295918e-12
"19",0.1,0.9,4.5013,4.507894,4.502625,-0.00659400000000031,0.0183044588875837,0.0209659229524641,0.19962486,7.07524565688824e-23,0,2.15021270151e-11
"20",0.1,1,4.5013,4.502219,4.504354,-0.000919000000000354,0.018127678009607,0.00644685144309681,0.188206437,7.50997750012589e-19,0,1.08676714801111e-09
"21",0.2,0.1,4.5013,4.503201,4.502454,-0.00190100000000033,4.0561805089022e-312,0.0615502093179198,0.0130844369,0,6.53515452864184e-11,9.0711341456e-43
"22",0.2,0.2,4.5013,4.506385,4.501746,-0.00508500000000037,1.39859499743405e-141,0.0588334471407621,0.022953261,0,8.59070936609641e-11,8.189984949689e-35
"23",0.2,0.3,4.5013,4.506643,4.501973,-0.00534300000000037,3.44363381638471e-70,0.0579407823219995,0.03677987,0,7.15397441286569e-11,3.496117199357e-30
"24",0.2,0.4,4.5013,4.509452,4.501485,-0.00815200000000034,2.18129079965848e-38,0.0489845660902765,0.0436565769,0,6.1824217967299e-11,6.65432687893e-27
"25",0.2,0.5,4.5013,4.499045,4.500849,0.00225499999999966,1.90765603000895e-20,0.0586735329601717,0.061240232,2.39671124097351e-314,4.09406963886028e-11,1.623441971595e-24
"26",0.2,0.6,4.5013,4.506575,4.504419,-0.00527500000000043,3.64181106091527e-16,0.0515040649716017,0.066838955,8.24079564345351e-206,8.08282363262691e-11,5.63975057304e-22
"27",0.2,0.7,4.5013,4.503752,4.502335,-0.00245200000000037,1.30660340402557e-13,0.0413514325092416,0.078139377,4.2194184833559e-164,5.96097726734968e-12,1.620693440938e-20
